SA1_2021,IER_2021
10202104807,1016.861368
10202104808,911.8713307
10202104809,918.2688824
10202104810,889.4059389
10202104811,972.1911219
10202104812,976.7107358
10202104813,945.369197
10202104814,958.7688673
10202104815,847.8352164
10202104816,980.2588146
10202104817,981.3983319
10202104818,922.0495868
10202104819,1010.960469
10202104820,962.8619307
10202104821,701.7259234
10202104822,974.0233598
10202104823,953.945474
10202104824,930.4832901
10202104825,911.1788773
10202104826,950.6820708
10202104827,938.3653311
10202104828,898.4747605
10202104829,911.9712248
10202104830,854.3041881
10202104831,1003.254379
10202104832,1044.716584
10202104833,942.7773358
10202104834,911.800003
10202104835,854.1052069
10202104836,952.0827218
10202104837,937.3646256
10202104838,1017.130091
10202104840,1003.955948
10202104841,992.113244
10202104842,1016.02066
10202104843,891.7241033
10202104844,1018.85877
10202104845,881.6713212
10202104846,860.1828586
10202104847,932.9875066
10202104848,986.2325806
10202104901,1163.038289
10202104902,1195.119329
10202104903,1124.203609
10202104904,1111.97925
10202104905,1100.153094
10202104906,1082.237626
10202104907,1115.044229
10202104908,1126.64059
10202104910,1129.157341
10202105001,1009.425555
10202105002,1054.809305
10202105003,1005.415977
10202105004,1042.539817
10202105005,1013.420246
10202105006,1000.112216
10202105007,998.3584246
10202105008,941.4175579
10202105009,1001.814304
10202105010,997.7445824
10202105011,970.1290457
10202105012,966.6714474
10202105013,967.8366821
10202105015,955.6114686
